Lipid ID	Lipid name	GO ID	GO term	Taxon ID	Taxon scientific name	Evidence tag ID
SLM:000056907	Phosphatidylcholine (O-40:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7505
SLM:000056907	Phosphatidylcholine (O-40:7)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10772
SLM:000056908	Phosphatidylcholine (O-40:8)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7571
SLM:000056908	Phosphatidylcholine (O-40:8)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10899
SLM:000056909	Phosphatidylcholine (O-40:9)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7572
SLM:000056921	Phosphatidylcholine (O-42:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10775
SLM:000056922	Phosphatidylcholine (O-42:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10776
SLM:000057151	Phosphatidylethanolamine (32:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7573
SLM:000057165	Phosphatidylethanolamine (34:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7574
SLM:000057166	Phosphatidylethanolamine (34:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7212
SLM:000057166	Phosphatidylethanolamine (34:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7213 | 10856
SLM:000057166	Phosphatidylethanolamine (34:1)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7214
SLM:000057167	Phosphatidylethanolamine (34:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7116 | 7209
SLM:000057167	Phosphatidylethanolamine (34:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7210
SLM:000057167	Phosphatidylethanolamine (34:2)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7211
SLM:000057168	Phosphatidylethanolamine (34:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7575
SLM:000057180	Phosphatidylethanolamine (36:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7224 | 7576
SLM:000057180	Phosphatidylethanolamine (36:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7225 | 10865
SLM:000057180	Phosphatidylethanolamine (36:1)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7226
SLM:000057181	Phosphatidylethanolamine (36:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7221 | 7577
SLM:000057181	Phosphatidylethanolamine (36:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7222 | 10864
SLM:000057181	Phosphatidylethanolamine (36:2)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7223
SLM:000057182	Phosphatidylethanolamine (36:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7218
SLM:000057182	Phosphatidylethanolamine (36:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7219 | 10862
SLM:000057182	Phosphatidylethanolamine (36:3)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7220
SLM:000057183	Phosphatidylethanolamine (36:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7215
SLM:000057183	Phosphatidylethanolamine (36:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7216 | 10860
SLM:000057183	Phosphatidylethanolamine (36:4)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7217
SLM:000057184	Phosphatidylethanolamine (36:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10859
SLM:000057195	Phosphatidylethanolamine (38:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7578
SLM:000057198	Phosphatidylethanolamine (38:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7237 | 7579
SLM:000057198	Phosphatidylethanolamine (38:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7238 | 10870
SLM:000057198	Phosphatidylethanolamine (38:3)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7239
SLM:000057199	Phosphatidylethanolamine (38:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7233
SLM:000057199	Phosphatidylethanolamine (38:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7235 | 10869
SLM:000057199	Phosphatidylethanolamine (38:4)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7236
SLM:000057200	Phosphatidylethanolamine (38:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7230 | 7580
SLM:000057200	Phosphatidylethanolamine (38:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7231 | 10868
SLM:000057200	Phosphatidylethanolamine (38:5)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7232
SLM:000057201	Phosphatidylethanolamine (38:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7227
SLM:000057201	Phosphatidylethanolamine (38:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7228 | 10867
SLM:000057201	Phosphatidylethanolamine (38:6)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7229
SLM:000057215	Phosphatidylethanolamine (40:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7581
SLM:000057216	Phosphatidylethanolamine (40:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7582
SLM:000057217	Phosphatidylethanolamine (40:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7249
SLM:000057217	Phosphatidylethanolamine (40:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7250
SLM:000057217	Phosphatidylethanolamine (40:4)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7251
SLM:000057218	Phosphatidylethanolamine (40:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7246 | 7583
SLM:000057218	Phosphatidylethanolamine (40:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7247 | 10874
SLM:000057218	Phosphatidylethanolamine (40:5)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7248
SLM:000057219	Phosphatidylethanolamine (40:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7243
SLM:000057219	Phosphatidylethanolamine (40:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7244 | 10873
